date,state,syndrome,cases_reported,population_coverage,data_source,incidence_rate,cases_7d_avg,pct_change,source,symptom_category,tweet_count,temperature,humidity,air_quality,cases_risk,twitter_risk,composite_risk,risk_level
2025-07-28,CA,COVID,598.0,100000.0,Clinical,598.0,598.0,,clinical,,,,,,0.13387060667114395,,,
2025-07-29,CA,COVID,636.0,100000.0,Clinical,636.0,617.0,0.0635451505016722,clinical,,,,,,0.14237743451981194,,,
2025-07-30,CA,COVID,624.0,100000.0,Clinical,624.0,619.3333333333334,-0.0188679245283018,clinical,,,,,,0.1396910678307589,,,
2025-07-31,CA,COVID,602.0,100000.0,Clinical,602.0,615.0,-0.0352564102564102,clinical,,,,,,0.13476606223416163,,,
2025-08-01,CA,COVID,629.0,100000.0,Clinical,629.0,617.8,0.0448504983388704,clinical,,,,,,0.14081038728453102,,,
2025-08-02,CA,COVID,614.0,100000.0,Clinical,614.0,617.1666666666666,-0.0238473767885533,clinical,,,,,,0.1374524289232147,,,
2025-08-03,CA,COVID,591.0,100000.0,Clinical,591.0,613.4285714285714,-0.0374592833876221,clinical,,,,,,0.132303559435863,,,
2025-08-04,CA,COVID,564.0,100000.0,Clinical,564.0,608.5714285714286,-0.0456852791878172,clinical,,,,,,0.1262592343854936,,,
2025-08-05,CA,COVID,550.0,100000.0,Clinical,550.0,596.2857142857143,-0.0248226950354609,clinical,,,,,,0.12312513991493172,,,
2025-08-06,CA,COVID,594.0,100000.0,Clinical,594.0,592.0,0.08,clinical,,,,,,0.13297515110812627,,,
2025-08-07,CA,COVID,552.0,100000.0,Clinical,552.0,584.8571428571429,-0.0707070707070707,clinical,,,,,,0.12357286769644056,,,
2025-08-08,CA,COVID,582.0,100000.0,Clinical,582.0,578.1428571428571,0.0543478260869565,clinical,,,,,,0.1302887844190732,,,
2025-08-09,CA,COVID,520.0,100000.0,Clinical,520.0,564.7142857142857,-0.106529209621993,clinical,,,,,,0.11640922319229909,,,
2025-08-10,CA,COVID,552.0,100000.0,Clinical,552.0,559.1428571428571,0.0615384615384615,clinical,,,,,,0.12357286769644056,,,
2025-08-11,CA,COVID,536.0,100000.0,Clinical,536.0,555.1428571428571,-0.0289855072463768,clinical,,,,,,0.11999104544436982,,,
2025-08-12,CA,COVID,526.0,100000.0,Clinical,526.0,551.7142857142857,-0.0186567164179104,clinical,,,,,,0.11775240653682562,,,
2025-08-13,CA,COVID,533.0,100000.0,Clinical,533.0,543.0,0.0133079847908745,clinical,,,,,,0.11931945377210657,,,
2025-08-14,CA,COVID,532.0,100000.0,Clinical,532.0,540.1428571428571,-0.0018761726078799,clinical,,,,,,0.11909558988135213,,,
2025-08-15,CA,COVID,515.0,100000.0,Clinical,515.0,530.5714285714286,-0.031954887218045,clinical,,,,,,0.11528990373852697,,,
2025-08-16,CA,COVID,528.0,100000.0,Clinical,528.0,531.7142857142857,0.0252427184466019,clinical,,,,,,0.11820013431833445,,,
2025-08-17,CA,COVID,523.0,100000.0,Clinical,523.0,527.5714285714286,-0.009469696969697,clinical,,,,,,0.11708081486456234,,,
2025-08-18,CA,COVID,519.0,100000.0,Clinical,519.0,525.1428571428571,-0.0076481835564053,clinical,,,,,,0.11618535930154467,,,
2025-08-19,CA,COVID,469.0,100000.0,Clinical,469.0,517.0,-0.0963391136801541,clinical,,,,,,0.1049921647638236,,,
2025-08-20,CA,COVID,516.0,100000.0,Clinical,516.0,514.5714285714286,0.1002132196162046,clinical,,,,,,0.1155137676292814,,,
2025-08-21,CA,COVID,492.0,100000.0,Clinical,492.0,508.8571428571428,-0.0465116279069767,clinical,,,,,,0.11014103425117529,,,
2025-08-22,CA,COVID,433.0,100000.0,Clinical,433.0,497.1428571428572,-0.1199186991869918,clinical,,,,,,0.09693306469666443,,,
2025-08-23,CA,COVID,493.0,100000.0,Clinical,493.00000000000006,492.1428571428572,0.1385681293302541,clinical,,,,,,0.11036489814192971,,,
2025-08-24,CA,COVID,468.0,100000.0,Clinical,468.0,484.2857142857143,-0.0507099391480729,clinical,,,,,,0.10476830087306917,,,
2025-08-25,CA,COVID,483.0,100000.0,Clinical,483.0,479.1428571428572,0.0320512820512821,clinical,,,,,,0.1081262592343855,,,
2025-08-26,CA,COVID,450.0,100000.0,Clinical,450.0,476.4285714285714,-0.0683229813664596,clinical,,,,,,0.10073875083948959,,,
2025-08-27,CA,COVID,462.0,100000.0,Clinical,462.0,468.7142857142857,0.0266666666666666,clinical,,,,,,0.10342511752854265,,,
2025-08-28,CA,COVID,465.0,100000.0,Clinical,465.0,464.8571428571428,0.0064935064935065,clinical,,,,,,0.10409670920080591,,,
2025-08-29,CA,COVID,490.0,100000.0,Clinical,490.0,473.0,0.053763440860215,clinical,,,,,,0.10969330646966645,,,
2025-08-30,CA,COVID,447.0,100000.0,Clinical,447.0,466.4285714285714,-0.0877551020408163,clinical,,,,,,0.10006715916722633,,,
2025-08-31,CA,COVID,464.0,100000.0,Clinical,464.0,465.8571428571428,0.0380313199105144,clinical,,,,,,0.10387284531005149,,,
2025-09-01,CA,COVID,451.0,100000.0,Clinical,451.0,461.2857142857143,-0.0280172413793103,clinical,,,,,,0.10096261473024401,,,
2025-09-02,CA,COVID,410.0,100000.0,Clinical,410.00000000000006,455.57142857142856,-0.0909090909090909,clinical,,,,,,0.09178419520931273,,,
2025-09-03,CA,COVID,441.0,100000.0,Clinical,441.0,452.57142857142856,0.075609756097561,clinical,,,,,,0.0987239758226998,,,
2025-09-04,CA,COVID,441.0,100000.0,Clinical,441.0,449.1428571428572,0.0,clinical,,,,,,0.0987239758226998,,,
2025-09-05,CA,COVID,456.0,100000.0,Clinical,456.0,444.2857142857143,0.0340136054421769,clinical,,,,,,0.10208193418401612,,,
2025-09-06,CA,COVID,435.0,100000.0,Clinical,435.0,442.57142857142856,-0.0460526315789473,clinical,,,,,,0.09738079247817327,,,
2025-09-07,CA,COVID,430.0,100000.0,Clinical,430.0,437.7142857142857,-0.0114942528735632,clinical,,,,,,0.09626147302440116,,,
2025-09-08,CA,COVID,424.0,100000.0,Clinical,424.0,433.8571428571428,-0.0139534883720929,clinical,,,,,,0.09491828967987463,,,
2025-09-09,CA,COVID,408.0,100000.0,Clinical,408.00000000000006,433.57142857142856,-0.0377358490566037,clinical,,,,,,0.0913364674278039,,,
2025-09-10,CA,COVID,442.0,100000.0,Clinical,442.00000000000006,433.7142857142857,0.0833333333333332,clinical,,,,,,0.09894783971345422,,,
2025-09-11,CA,COVID,425.0,100000.0,Clinical,425.00000000000006,431.4285714285714,-0.0384615384615384,clinical,,,,,,0.09514215357062905,,,
2025-09-12,CA,COVID,430.0,100000.0,Clinical,430.0,427.7142857142857,0.0117647058823529,clinical,,,,,,0.09626147302440116,,,
2025-09-13,CA,COVID,410.0,100000.0,Clinical,410.00000000000006,424.1428571428572,-0.0465116279069767,clinical,,,,,,0.09178419520931273,,,
2025-09-14,CA,COVID,383.0,100000.0,Clinical,383.0,417.4285714285714,-0.0658536585365853,clinical,,,,,,0.08573987015894337,,,
2025-09-15,CA,COVID,408.0,100000.0,Clinical,408.00000000000006,415.1428571428572,0.0652741514360313,clinical,,,,,,0.0913364674278039,,,
2025-09-16,CA,COVID,440.0,100000.0,Clinical,440.0,419.7142857142857,0.0784313725490195,clinical,,,,,,0.09850011193194538,,,
2025-09-17,CA,COVID,458.0,100000.0,Clinical,458.0,422.0,0.040909090909091,clinical,,,,,,0.10252966196552496,,,
2025-09-18,CA,COVID,407.0,100000.0,Clinical,407.0,419.4285714285714,-0.111353711790393,clinical,,,,,,0.09111260353704947,,,
2025-09-19,CA,COVID,386.0,100000.0,Clinical,386.0,413.1428571428572,-0.0515970515970516,clinical,,,,,,0.08641146183120663,,,
2025-09-20,CA,COVID,449.0,100000.0,Clinical,449.0,418.7142857142857,0.1632124352331605,clinical,,,,,,0.10051488694873517,,,
2025-09-21,CA,COVID,389.0,100000.0,Clinical,389.0,419.57142857142856,-0.1336302895322939,clinical,,,,,,0.08708305350346988,,,
2025-09-22,CA,COVID,418.0,100000.0,Clinical,418.0,421.0,0.0745501285347043,clinical,,,,,,0.0935751063353481,,,
2025-09-23,CA,COVID,382.0,100000.0,Clinical,382.0,412.7142857142857,-0.0861244019138756,clinical,,,,,,0.08551600626818893,,,
2025-09-24,CA,COVID,431.0,100000.0,Clinical,431.0,408.8571428571428,0.1282722513089005,clinical,,,,,,0.09648533691515558,,,
2025-09-25,CA,COVID,397.0,100000.0,Clinical,397.0,407.4285714285714,-0.0788863109048724,clinical,,,,,,0.08887396462950527,,,
2025-09-26,CA,COVID,381.0,100000.0,Clinical,381.0,406.7142857142857,-0.0403022670025189,clinical,,,,,,0.08529214237743452,,,
2025-09-27,CA,COVID,379.0,100000.0,Clinical,379.0,396.7142857142857,-0.005249343832021,clinical,,,,,,0.08484441459592568,,,
2025-09-28,CA,COVID,417.0,100000.0,Clinical,417.0,400.7142857142857,0.1002638522427441,clinical,,,,,,0.09335124244459368,,,
2025-09-29,CA,COVID,364.0,100000.0,Clinical,364.0,393.0,-0.1270983213429256,clinical,,,,,,0.08148645623460936,,,
2025-09-30,CA,COVID,424.0,100000.0,Clinical,424.0,399.0,0.1648351648351649,clinical,,,,,,0.09491828967987463,,,
2025-10-01,CA,COVID,366.0,100000.0,Clinical,366.0,389.7142857142857,-0.1367924528301887,clinical,,,,,,0.0819341840161182,,,
2025-10-02,CA,COVID,401.0,100000.0,Clinical,401.0,390.2857142857143,0.0956284153005464,clinical,,,,,,0.08976942019252294,,,
2025-10-03,CA,COVID,390.0,100000.0,Clinical,390.0,391.57142857142856,-0.0274314214463839,clinical,,,,,,0.08730691739422432,,,
